Name,Flavor,Category,Frequency,Tier,List,Tags,Action,Range,Range Details,Requirement,Trigger,Attack,Defence,Hit,Miss,Effect,Special,Maintain,Boost
Staunching Strike,To help your allies and harm your enemies is the most basic tenet of the Radiant Dawn discipline. ,Attack,Encounter,1,Radiant Dawn,"Divine, Weapon, Radiant, Healing ",Standard,Melee,"weapon, one creature",,,Wisdom,AC,2dW + Wisdom modifier radiant damage. You or an ally within sight can spend a recovery to heal their recovery value. ,,,,,
Spoils of War,Might makes right. ,Attack,Daily,1,Radiant Dawn,"Divine, Focus, Radiant",Standard,Near,"burst 3, all enemies",,,Wisdom,Fortitude,2d8 + Wisdom modifier damage. ,,"Until the end of the encounter, each time an ally within 3 hits with an attack, they heal damage equal to your Wisdom modifier. ",,,
Bolster,"You fortify an ally with akasha, hardening their skin like the scales of a dragon. ",Utility,Daily,2,Radiant Dawn,Divine,Immediate (Counter),Near,"burst 5, one ally",,,,,,,The ally gains resistance to all 5 until the end of your next turn. *Level 11:* 10. *Level 21:* 15.,,,
The Caged Sun,,Utility,Daily,2,Radiant Dawn,"Divine, Stance, Healing",Swift,Self,,,,,,,,"You cannot heal creatures other than yourself, or enable other creatures to spend recoveries. However, all healing you receive is doubled. If you receive healing but are already at maximum HP, you gain that amount as temporary HP instead. ","If you are staggered, you can enter this stance as an immediate (react) action. ",,
Decree of Mercy,A simple look and gesture can weaken one’s resolve to kill.,Utility,Encounter,2,Radiant Dawn,Divine,Immediate (Counter),Near,"burst 5, all enemies",,,Wisdom,Will,Attacks the target makes until the end of your next turn are nonlethal. ,,,,,
Curate’s Strike,This strike was created by a kobold leader to fight both controlling magics and vicious wounds.,Attack,Encounter,3,Radiant Dawn,"Divine, Focus, Radiant, Healing",Standard,Ranged,"5, one creature",,,Wisdom,AC,2d8 + Wisdom modifier radiant damage. You or an ally within sight can spend a recovery to heal their recovery value. They also gain a +2 bonus on saving throws until the end of your next turn. ,,,,,
Witness to Glory,"With a surge of akasha, you spur an ally into battle.",Utility,Daily,6,Radiant Dawn,Divine,Immediate (Counter),Near,"burst 10, one ally",,Initiative is rolled. ,,,,,The ally receives a +4 power bonus to initiative. They add your Wisdom modifier to their speed until the end of your next turn. ,,,
Healer’s Bane,"Made to combat other practitioners of the Radiant Dawn discipline, this maneuver hijacks healing for one’s own purpose. ",Utility,Encounter,6,Radiant Dawn,"Divine, Healing",Immediate (Counter),Near,"burst 10, one creature",,The creature is about to heal. ,,,,,"The creature does not heal, but does lose a recovery. Pick an ally within range. They heal equal to their recovery value. ",,,
Decree of Purity,A single word and a wave of the hand purifies those who would stand with you.,Utility,Encounter,6,Radiant Dawn,"Divine, Healing",Swift,Ranged,"5, one ally",,,,,,,The target makes a saving throw against persistent damage or a condition with a save-ends duration. ,,,
Armaments of the Empire,A thin layer of akasha flows forth from you and covers your and your allies’ weapons.,Attack,Encounter,7,Radiant Dawn,"Divine, Weapon, Radiant",Standard,Melee,"weapon, one creature",,,Wisdom,AC,"3dW + Wisdom modifier damage. Until the end of your next turn, all allies within 5 gain a +2 power bonus on attack rolls. ",,,,,
Decree of Death,You single out targets for execution. ,Attack,Encounter,7,Radiant Dawn,"Divine, Radiant, Focus",Standard,Far,"burst 1 (range 5), all enemies",,,Wisdom,Will,1d8 + Wisdom modifier radiant damage and the target grants combat advantage until the end of your next turn. ,,,,,
Disrupt Essence,"A powerful blow that disrupts one’s essence, inhibiting the use of abilities. ",Attack,Daily,9,Radiant Dawn,"Divine, Weapon, Radiant",Standard,Melee,"weapon, one creature",,,Wisdom,AC,"2dW + Wisdom modifier damage and the target cannot use encounter, daily or refresh powers until the end of your next turn. ",,,,,
Lifeburst Strike,You strike out with a simple blow with an uncanny power to heal and harm.,Attack,Daily,9,Radiant Dawn,"Divine, Radiant, Focus",Standard,Near,"burst 1, all enemies",,,Wisdom,Fortitude,"2d8 + Wisdom modifier radiant damage. Until the end of your next turn, if an ally of yours hits the target, the ally heals 10 damage. ",Half damage.,,,Swift: The healing opportunity remains.,
Decree of Silence,Your presence demands silence. ,Utility,Daily,10,Radiant Dawn,Divine,Immediate (Counter),Near,"burst 1, self and all allies",,You are the target of a Near or Far attack. ,,,,,Creatures in the area of this power cannot be targeted by the attack. ,,,
Lifeburst Imbuement,This maneuver imbues another to carry out your will. ,Attack,Encounter,13,Radiant Dawn,"Divine, Radiant",Standard,Near,"burst 5, one ally",,,,,,,"The next attack the ally makes has combat advantage, and does 3d8 additional radiant damage on a hit. ",,,
Sunstroke,Your akasha shapes an attack into a powerful solar flare. ,Attack,Daily,15,Radiant Dawn,"Divine, Fire, Radiant, Focus",Standard,Far,"burst 2 (range 10), all enemies",,,Wisdom,Reflex,2d10 + Wisdom modifier radiant and fire damage and persistent fire damage 10 (save ends). ,Half damage.,One ally in the burst can spend a recovery to heal their recovery value. ,,,
Shatter Spell,"A maneuver whose origins did not come from the disciples of the Radiant Dawn, but was quickly adopted and adapted to deal with spellcasters on the battlefield.",Utility,Daily,16,Radiant Dawn,Divine,Standard,Ranged,"10, one persisting power",,,Wisdom,Will (power's user),,,The power comes to an end. ,,,
Sunlight Shields,"his stance sits halfway between martial form and magic prowess, conjuring shields of light to defend yourself and others.",Utility,Daily,16,Radiant Dawn,"Divine, Radiant, Conjuration",Swift,Far,wall 1 (range 10),,,,,,,Allies in or adjacent to the wall get a +2 power bonus to AC. An enemy that moves into the wall stops moving immediately and cannot move for the rest of the turn. Walls created last until the end of your next turn.,,"Swift: Conjure a new wall within range. This does not prolong the duration of existing walls you conjured with this power, which disappear at the end of your turn. ",
Divide and Conquer,"This strike pulls essence from the target, creating an effigy of the creature. ",Attack,Encounter,17,Radiant Dawn,"Divine, Fire, Focus",Standard,Ranged,"10, one creature",,,Wisdom,Fortitude,"3d8 + Wisdom modifier fire damage, and conjure an effigy of the target in an unoccupied square in range. Any attack that targets the effigy targets the target as well, even if the target would normally be out of range of the attack. The target only gets targeted once by any given attack, even if both the target and their effigy are in the area of effect. ",,,,,
Noblesse Oblige,"When all else fails, your allies turn to you to save them. ",Attack,Daily,19,Radiant Dawn,"Divine, Weapon, Radiant, Healing ",Immediate (Counter),Near,"burst 10, the triggering enemy",,An enemy reduces your ally to 0 HP or below with an attack. ,,,3dW + Wisdom modifier radiant damage.,,"The triggering ally can spend a recovery and heal 1 damage, plus they heal equal to the damage done by your attack (if any). ","Before the attack, you can shift up to your Strength modifier squares. ",,
Battle Against the Sun,To challenge you is to challenge the sun itself: An exercise in futility. ,Attack,Daily,19,Radiant Dawn,"Divine, Conjuration, Fire, Focus",Standard,Ranged,"10, an unoccupied square",,,,,,,"You conjure a miniature sun, which occupies one square. The sun casts bright light in a 2-square radius. It makes a ranged attack during each of your turns, including the turn it was conjured. If you spend a move action, the sun moves up to 4 squares. 

*Attack:* Ranged 5, one enemy; your Wisdom vs Reflex; 2d10 + Wisdom modifier radiant damage. ",,Swift: The sun remains another round and makes another attack. ,
Decree of Freedom,"With a gesture and a single word, you cause a target’s essence to flare, freeing them from their bonds.",Utility,Encounter,22,Radiant Dawn,"Divine, Healing",Swift,Near,"burst 10, one ally",,,,,,,The target ignores all conditions and persistent damage it is affected by until the end of your next turn. It can also ignore any zones or difficult or hazardous terrain during the same period.,,,
Karmic Strike,"This blow marks an enemy with a simple brand that burrows into their essence. As they do harm, the brand sees to it that they are harmed as well.",Attack,Encounter,23,Radiant Dawn,"Divine, Weapon, Radiant",Standard,Melee,"weapon, one creature",,,Wisdom,AC,3dW + Wisdom modifier radiant damage.,,"Until the end of your next turn, any ally of yours targeted by the target's attack can spend a recovery to heal up to their recovery value. ",,Swift: Maintain the effect. ,
King’s Castle,Your faithful respond to your call for help. ,Attack,Encounter,23,Radiant Dawn,"Divine, Focus, Radiant",Immediate (Counter),Near,"burst 10, the triggering enemy",,An enemy within range hits your ally with an attack. ,Wisdom,Will,4d10 + Wisdom radiant damage.,,"You or a willing ally within range teleports to the triggering ally's space, and the triggering ally teleports to the space you/the other ally just left. The one teleported to the space takes the hit instead of the triggering ally. ",,,
Awaken the Sleeper,"It’s said that the soul of a mortal contains power that can rival the gods, and this maneuver awakens a fraction of that power for a brief moment.",Attack,Encounter,23,Radiant Dawn,Divine,Standard,Near,"burst 10, one ally",,,,,,,"Select one of your unexpended encounter or daily powers that takes a standard, move, swift or free action. Your ally can use that power.

They also gain temporary HP equal to your recovery value.",,,
Path of the Sun,"Coalesce the power of the sun into a powerful beam that washes over enemies and allies alike, leaving behind thousands of motes of light. ",Attack,Daily,25,Radiant Dawn,"Divine, Focus, Fire, Radiant",Standard,Near,"wall 10, all enemies in the wall",,,Wisdom,Fortitude,3d8 + Wisdom modifier radiant and fire damage. ,,"Allies that move through the wall only spend 1 movement for every 2 wall spaces moved through. 

Make the attack against any enemy that enters a wall space or ends its turn on a wall space.",,Swift: Wall remains for another round.,
Push the Advantage,"With the enemy defeated, you spur an ally towards further glory.",Attack,Daily,25,Radiant Dawn,"Divine, Weapon, Radiant",Immediate (React),Near,"burst 10, one ally",,An ally reduces an enemy to 0 HP or below,,,,,"The triggering ally can immediately take a move action and a standard action, in either order. Also, if you spend a recovery all allies within range heal equal to your recovery value. ",,,
